Resolution,MeetingType,MeetingDate,Result,VoteCount,YesCount,NoCount,PrimaryDomain,SecondaryDomain,VoteType,DirectionOfYes,Confidence,Notes
"That with respect to Report C2022-1051, the following be adopted, as amended: That Council: Approve and adopt the 2023-2026 Service Plans and Budgets, including the community indicators, service performance measures, and associated operating and capital budgets as identified in Revised Attachment 4, and further, that Council direct Administration to take critical, responsive measures as follows to provide support and investment for residents and businesses; I. Draw $64.7 million in one-time operating funds to be taken from the anticipated $65 million 2022 favourable variance, to be transferred to the Fiscal Stability & Budget Savings Account Merged Reserve, to be allocated in the following manner: $3 million in 2023 to Calgary Transit to maintain transit fees at 2022 levels and amend Attachment 12(l) accordingly; $3 million in 2023 to Calgary Transit to eliminate fares for children 12 and under, and to lower the cost of weekend family passes and amend Attachment 12(l) accordingly; $250,000 in 2023 to offset permit fees for outdoor patios and cafes; $900,000 in 2023 to Contemporary Calgary with a subsequent 3rd party review to determine future funding recommendations and eligibility; $250,000 in 2023 to Arts & Culture for required City of Calgary support of Tourisms Calgarys efforts to position Calgary as a global destination; $2 million in 2023 to expand the Non-Residential Heritage Conservation Grant Program, initiate the Residential Tax Heritage Incentive Program, and resource both programs; $2 million over 2023-2026 to Family & Community Support Services to offset the operating cost increase of 5% based on population and inflation (for the City of Calgary proportion of funding); $1.5 million over 2023-2026 to the Indigenous Relations Office; $19 million over 2023-2026 to the Mental Health & Addictions Strategy to maintain community organization programming following the initial one-time funding expiring in 2023, as well as 2-year seed funding to activate a new partnership with Calgary Police Service and community agencies (real time integrated mental health and addictions centre); $1.8 million over 2023-2026 to Calgary Economic Development to progress the work around branding, reputation, hosting and hospitality; $4 million over 2023-2026 to Tourism Calgary to progress the work around branding, reputation, hosting and hospitality; $2 million over 2023-2026 to Vibrant Communities Calgary; $1 million over 2023-2026 to Federation of Calgary Communities; $4 million over 2023-2026 to Calgary Arts Development Authority; $1.5 million over 2023-2026 to Parks Foundation Calgary; $1.5 million over 2023-2026 to Sport Calgary; $2 million over 2023-2026 to Platform Calgary; $10 million over 2024-2026 to Calgary Fire Department; and $5 million over 2023-2026 for additional transit bus shelters and benches. II. Draw $75 million in one-time capital funds to be taken from the anticipated $75 million 2022 favourable variance in the franchise fees program, to be transferred to the Reserve for Future Capital and Lifecycle Maintenance and Upgrade Merged Reserve, to be allocated in the following manner: $20 million to 5A Network and 2 Rapid Flashing Light Beacons per ward; $20 million as seed funding for Local Area Plan amenities; $20 million to the Foothills Fieldhouse; $12 million towards non-profit grants to leverage capital anticipated through federal and provincial programs like the Rapid Housing Initiative & Housing Accelerator; and $3 million to the Closer to Home Indigenous-focused family & community hub. III. Draw $40 million from the Real Estate Services Reserve as an investment for the Downtown Strategy work presently underway, with funds to be allocated as follows: $31 million to the Phase 1: office to residential conversion program, and $9 million to the Phase 2: office to post-secondary institution conversion program for which the proposed terms of reference will be delivered to Council in 2023 Q1, while reaffirming that all future proceeds related to industrial and business park development in Program # 696 Commercial Development, will be directed into the Real Estate Services Reserve. IV. Draw $20 million from the Calgary Parking Authority Long Term Investment Reserve as a capital investment for 5A Network. ; If amendments to the reserve fund terms of reference are required they would be brought to Council for approval no later than Q1 2023. V. Increase trouble service response resources up to $2 million over four years, drawing from the Snow and Ice Control reserve fund during major winter Snow and Ice Control events where a snow emergency has not been declared, and report back with an update on this enhanced service opportunity as part of the Snow and Ice Control Policy (CP2021-01) review report back to Council in Q2 2023.",Regular Meeting of Council,2022/11/25,MOTION CARRIED,15,10,5,Economy,Community,Budget Approval,Support,High,"Major city budget including transit, services, housing, and infrastructure funding"
"That with respect to Report C2022-1051, the following be adopted, as amended: That Council: Approve and adopt the 2023-2026 Service Plans and Budgets, including the community indicators, service performance measures, and associated operating and capital budgets as identified in Revised Attachment 4, and further, that Council direct Administration to take critical, responsive measures as follows to provide support and investment for residents and businesses; I. Draw $64.7 million in one-time operating funds to be taken from the anticipated $65 million 2022 favourable variance, to be transferred to the Fiscal Stability & Budget Savings Account Merged Reserve, to be allocated in the following manner: $3 million in 2023 to Calgary Transit to maintain transit fees at 2022 levels and amend Attachment 12(l) accordingly; $3 million in 2023 to Calgary Transit to eliminate fares for children 12 and under, and to lower the cost of weekend family passes and amend Attachment 12(l) accordingly; $250,000 in 2023 to offset permit fees for outdoor patios and cafes; $900,000 in 2023 to Contemporary Calgary with a subsequent 3rd party review to determine future funding recommendations and eligibility; $250,000 in 2023 to Arts & Culture for required City of Calgary support of Tourisms Calgarys efforts to position Calgary as a global destination; $2 million in 2023 to expand the Non-Residential Heritage Conservation Grant Program, initiate the Residential Tax Heritage Incentive Program, and resource both programs; $2 million over 2023-2026 to Family & Community Support Services to offset the operating cost increase of 5% based on population and inflation (for the City of Calgary proportion of funding); $1.5 million over 2023-2026 to the Indigenous Relations Office; $19 million over 2023-2026 to the Mental Health & Addictions Strategy to maintain community organization programming following the initial one-time funding expiring in 2023, as well as 2-year seed funding to activate a new partnership with Calgary Police Service and community agencies (real time integrated mental health and addictions centre); $1.8 million over 2023-2026 to Calgary Economic Development to progress the work around branding, reputation, hosting and hospitality; $4 million over 2023-2026 to Tourism Calgary to progress the work around branding, reputation, hosting and hospitality; $2 million over 2023-2026 to Vibrant Communities Calgary; $1 million over 2023-2026 to Federation of Calgary Communities; $4 million over 2023-2026 to Calgary Arts Development Authority; $1.5 million over 2023-2026 to Parks Foundation Calgary; $1.5 million over 2023-2026 to Sport Calgary; $2 million over 2023-2026 to Platform Calgary; $10 million over 2024-2026 to Calgary Fire Department; and $5 million over 2023-2026 for additional transit bus shelters and benches. II. Draw $75 million in one-time capital funds to be taken from the anticipated $75 million 2022 favourable variance in the franchise fees program, to be transferred to the Reserve for Future Capital and Lifecycle Maintenance and Upgrade Merged Reserve, to be allocated in the following manner: $20 million to 5A Network and 2 Rapid Flashing Light Beacons per ward; $20 million as seed funding for Local Area Plan amenities; $20 million to the Foothills Fieldhouse; $12 million towards non-profit grants to leverage capital anticipated through federal and provincial programs like the Rapid Housing Initiative & Housing Accelerator; and $3 million to the Closer to Home Indigenous-focused family & community hub. III. Draw $40 million from the Real Estate Services Reserve as an investment for the Downtown Strategy work presently underway, with funds to be allocated as follows: $31 million to the Phase 1: office to residential conversion program, and $9 million to the Phase 2: office to post-secondary institution conversion program for which the proposed terms of reference will be delivered to Council in 2023 Q1, while reaffirming that all future proceeds related to industrial and business park development in Program # 696 Commercial Development, will be directed into the Real Estate Services Reserve. IV. Draw $20 million from the Calgary Parking Authority Long Term Investment Reserve as a capital investment for 5A Network. ; If amendments to the reserve fund terms of reference are required they would be brought to Council for approval no later than Q1 2023. V. Increase trouble service response resources up to $2 million over four years, drawing from the Snow and Ice Control reserve fund during major winter Snow and Ice Control events where a snow emergency has not been declared, and report back with an update on this enhanced service opportunity as part of the Snow and Ice Control Policy (CP2021-01) review report back to Council in Q2 2023.",Regular Meeting of Council,2022/11/08,MOTION CARRIED,15,10,5,Economy,Community,Budget Approval,Support,High,Duplicate budget approval row
"That with respect to Notice of Motion EC2025-0995, the following Motion Arising be adopted: WHEREAS City Council has directed Administration to prepare an amending bylaw to restore the Land Use Bylaw Districts in Bylaw 1P2007 and the land use designation of affected parcels to their state prior to third reading of Bylaw 21P2024, with defined exemptions, reporting timelines, and a return to Public Hearing in March 2026; AND WHEREAS City Council recognizes that maintaining housing supply and affordability requires continuity in housing approvals capacity and processing timelines, and that any repeal or modification of zoning regulations should be accompanied by appropriate transitional measures to ensure no net loss in housing approvals during the period of regulatory transition; AND WHEREAS additional direction is required to provide clarity on how Councils adopted amendments to city-wide residential rezoning will be implemented in a manner that maintains compliance with the requirements of federal housing and infrastructure funding programs, including the Housing Accelerator Fund and other applicable granting streams; THEREFORE BE IT RESOLVED THAT Administration be directed to develop and return to Council no later than Q2 2026 with a comprehensive Multi-Tool Zoning and Housing Enablement Framework that: Identifies and evaluates alternative zoning, planning, and approvals-based mechanisms capable of enabling missing-middle, multi-unit, and affordable housing at a scale sufficient to meet or exceed the Citys objectives in the Home is Here: The City of Calgarys Housing Strategy 2024-2030, including the delivery of affordable homes across all housing categories; Demonstrates how the proposed mechanisms will maintain Calgarys eligibility and compliance with funding programs offered by other orders of government, including housing supply outcomes, approvals-streamlining commitments, and growth-enabling regulatory reforms; Identifies any required amendments to the Municipal Development Plan, Land Use Bylaw 1P2007, Local Area Plans, or administrative processes necessary to implement the Framework; Provides Council with a comprehensive analysis of the housing supply, financial, legal, and intergovernmental implications of the Framework, including formal engagement with the Canada Mortgage and Housing Corporation (CMHC) and Housing, Infrastructure and Communities Canada (HICC) to confirm that the proposed mechanisms satisfy funding programs performance requirements; and Identifies any interim resourcing, capital, or programmatic requirements required to maintain housing supply momentum during the transition period between any repeal or modification of existing zoning regulations and the implementation of the Multi-Tool Zoning and Housing Enablement Framework, including the potential use of non-market and non-profit housing delivery mechanisms. Identifies any additional resourcing, staffing, or capital requirements necessary to accelerate implementation of non-Rezoning for Housing housing supply actions already approved within the Home is Here: The City of Calgarys Housing Strategy 20242030, including initiatives related to approvals streamlining, non-market housing delivery, and alternative housing forms. AND FURTHER BE IT RESOLVED THAT Administration undertake direct engagement with CMHC, HICC, the Government of Alberta and the Government of Canada during the development of the Framework and report back to Council on any conditions, amendments, or flexibilities required to support Calgarys continued participation in the Housing Accelerator Fund and other grant streams offered by other orders of government that enable housing supply.",Regular Meeting of Council,2025/12/15,MOTION DEFEATED,15,7,8,Community,Governance,Housing Policy,Support,High,Housing supply and zoning framework motion
"That with respect to Verbal Report C2022-1057, the following be adopted: That Council direct Administration to: Formalize the business case (or other future approach) review process as one that examines operating costs, capital costs, financial/environmental/social implications, and alignment with the Municipal Development Plan (MDP) in a criteria-based & city-wide contextual manner for any applications that are received for land use change within Area Structure Plans (ASPs) that had growth management overlays as of July 26, 2022; Ensure that reports for Council decision regarding business cases and/or ASP applications provide full transparency by including business modelling, tax and spending assessments, and any other relevant empirical information that is agreed upon between Administration and applicants; Ensure that business case and ASP reviews occur throughout the year when impacted applications are received, as opposed to a single intake cycle; Develop a process for proactively identifying and evaluating city-wide growth opportunities, including city-initiated landowner outreach and engagement, in order to: a) better leverage existing amenities and infrastructure, b) manage capital and operating costs, c) protect natural areas, d) achieve other benefits, and e) report back no later than 2023 September 30; Ensure that business case reviews and subsequent recommendations are presented to Council in an empirical manner for final decision; Bring any operating or capital cost requirements that emerge as a result of business case or ASP approvals to the annual budget planning cycle of Council; Explore bringing an omnibus motion to the Infrastructure and Planning Committee for removal of all growth management overlays (GMOs) as the administrative business case review process replaces the dated tool of GMOs no later than Q2 2023; Provide Council with a project scoping report that undertakes a comprehensive approach toward more directly attributing the taxes and user fees paid to cover expenditures by community - with a focus on outcomes, project scope, budget, and timelines - to be considered as part of the 2023-2026 budgetary discussions; and Bring a report to Council twice a year that summarizes the decisions and associated impacts as stated in the points above, once in spring as budget is planned and once in fall as budget is passed.",Strategic Meeting of Council,2022/09/20,MOTION CARRIED,15,14,1,Governance,Economy,Growth Management,Support,High,Business case review and development growth oversight
"That with respect to Report IP2022-0340, the following be adopted: That Council: Abandon Proposed Bylaw 28P2022 for the amendments to the Municipal Development Plan (Attachment 3); Abandon Proposed Bylaw 29P2022 for the amendments to the Keystone Hills Area Structure Plan (Attachment 4); ; Direct Administration to prepare a flexible land use policy approach that will provide a framework allowing both employment and residential land uses for the subject lands in a comprehensively-planned manner and report back to Council through Calgary Planning Commission with a concurrent recommendation for both a policy amendment, if required and the related outline plan and land use amendment application (LOC2021-0184). This flexible policy approach should consider: providing appropriate mix of employment, residential and other complementary uses that maintains the employee-intensive industrial development vision for the subject lands; providing appropriate transition from residential to non-residential uses; alignment with the Citywide Growth Strategy: Industrial recommendations including the Industrial Action Plan; engaging the school boards and other stakeholders to plan for a complete community and explore any school sites, open spaces, and/or community services future residents/users may require; providing transportation and transit infrastructure and utility servicing that balances needs of both employment and residential land uses; incorporating community design best practices such as designing for active transportation modes and safety, block-based and connected mobility network, and street-oriented and transit-supportive development; and enabling development that addresses objectives of the Climate Resilience Strategy. ;",Combined Meeting of Council,2022/05/10,MOTION DEFEATED,15,6,9,Natural Environment,Community,Land Use Policy,Oppose,Medium,Abandoning prior bylaw for flexible land use planning
"That with respect to Report IP2022-0340, the following be adopted: That Council: File the Committee Recommendations contained in Report IP2022-0340; Give first reading to Proposed Bylaw 28P2022 for amendments to the Municipal Development Plan (Attachment 3); Withhold second and third readings of Proposed Bylaw 28P2022 (Attachment 3, as amended), until the proposed bylaw has been approved by the Calgary Metropolitan Region Board; Give first reading to Proposed Bylaw 29P2022 for amendments to the Keystone Hills Area Structure Plan (Attachment 4); Withhold second and third readings of Proposed Bylaw 29P2022 (Attachment 4, as amended) until the proposed bylaw has been approved by the Calgary Metropolitan Region Board; and Direct Administration that the related outline plan and land use amendment application (LOC2021-0184) should consider: providing appropriate transition from residential to non-residential uses; engaging the school boards and other stakeholders to plan for a complete community and explore any school sites, open spaces, and/or community services future residents/users may require; providing transportation and transit infrastructure and utility servicing that balances needs of both employment and residential land uses; incorporating community design best practices such as designing for active transportation modes and safety, block-based and connected mobility network, and street-oriented and transit-supportive development; and enabling development that addresses objectives of the Climate Resilience Strategy.",Combined Meeting of Council,2022/05/10,MOTION CARRIED,15,12,3,Community,Natural Environment,Land Use Policy,Support,Medium,Supporting land use redesignation and development planning
"That with respect to Notice of Motion EC2021-1698, the following be adopted: THEREFORE BE IT RESOLVED: That Council direct Administration to develop a framework to measure and report on the Climate Strategy actions, budget and annual spend. That Council direct Administration to provide ongoing expenditure reports to be submitted to Audit Committee; Future reports will explore financials including cost of action/inaction, avoided costs and cost savings as it relates to climate mitigation and adaptation. Qualitative reporting to include indigenous world view, equity, and environment. That Council direct Administration to update the city-wide and corporate greenhouse gas reduction target to be net-zero emissions by 2050 and set sector specific interim targets to ensure accountability and benchmarking; That Council direct Administration to present a plan to retrofit and update all City owned assets with clean energy infrastructure and improvements that exceeds current energy standards; The Plan should include anticipated timelines, a costs/savings analysis, and an action prioritization of City-owned facilities and operations Each Business Unit to build carbon targets and actions into their 2023 2026 business plans and budgets That Council direct Administration to work with civic partners and subsidiaries to ensure alignment with Calgarys climate risk reduction goals and emissions reductions target, including the interim targets. That Council direct Administration to connect with community partners in an outreach and educational campaign that will empower all Calgarians to play their part in meeting the Citys net-zero target and reduce climate risk in our communities; Due to the urgent nature of the Global Climate Emergency, Council directs Administration to pursue and report on the progress on the above actions, to be reported on by the end of Q3 2022, in order to be considered during the 2023-2026 Budget Cycle.",Combined Meeting of Council,2021/12/20,MOTION CARRIED,15,12,3,Natural Environment,Governance,Climate Policy,Support,High,Net-zero emissions and climate accountability framework
"That with respect to Notice of Motion EC2025-0524, the following be adopted: NOW THEREFORE BE IT RESOLVED that Council direct Administration to return to Infrastructure and Planning Committee by Q3 2026 with a report and recommendations that: Proposes necessary amendments to relevant City policies, the Land Use Bylaw, and terms of reference for City funding sources, funds, or reserves, including but not limited to the Beltline Area Redevelopment Plan (Parts 1 and 2), Chinatown Area Redevelopment Plan, East Village Area Redevelopment Plan, the terms of reference for the Corporate Housing Reserve, and the terms of reference for the Incentive Density Funds of the Commercial Residential District.",Regular Meeting of Council,2025/05/27,MOTION CARRIED,13,8,5,Community,Governance,Housing Policy,Support,Medium,Affordable housing reserve and redevelopment policy changes
"That with respect to Report IP2022-0545, the following Motion Arising be adopted: That Council direct Administration to engage in a discussion at the 20 September 2022 Strategic Meeting of Council on the following: Formalize the business case review process as one that examines operating costs, capital costs, financial/environmental/social implications, and alignment with the Municipal Development Plan (MDP) in a criteria-based manner for any applications that are received for land use change within Area Structure Plans (ASPs) that had growth management overlays as of July 26, 2022; Ensure that business case reviews occur throughout the year when impacted applications are received, as opposed to a single intake cycle; Ensure that business case reviews and subsequent recommendations are administrative, operating decisions that may require council approval for associated land use; Bring any operating or capital cost requirements that emerge as a result of business case approvals to the annual budget planning cycle of Council; Bring an omnibus motion to Council for removal of all growth management overlays (GMOs) as the administrative business case review process replaces the dated tool of GMOs; Bring all capital and operating budget requirements for growth in established areas to the annual budget planning cycle of Council, in an effort to achieve the goals of the MDP; and Bring a yearly report to Council that summarizes the decisions and associated impacts as stated above.",Combined Meeting of Council,2022/07/26,MOTION CARRIED,15,13,2,Governance,Economy,Growth Management,Support,High,Formalizing business case review for development growth decisions
"; That Council: Approve the recommendation to account for differential in physical growth (new or redevelopment) between residential and non-residential and shift the tax share from non-residential to residential by 1 per cent per year for the next 3 years (2024 impacts shown in Option B, in Attachment 3). Approve the recommended adjustments to the 2023-2026 Service Plans and Budgets in Attachment 5 and direct Administration to implement the budgetary changes and relevant performance measures necessary to effect those adjustments. Approve the funding recommendations in Attachment 5. For the proposed User Fee and Rate changes in Revised Attachment 6: ; Approve the user fee changes in Revised Attachment 6A and Attachments 6B-6E; and, Give three readings to the bylaw in Attachment 6F. Approve the Capital Budget Recast in Attachment 7. Approve the Capital Budget Adjustments in Revised Attachment 8. Approve the Operating Budget Adjustments with No Net Budget Impact for 2023 in Attachment 9. Approve the Carry Forward of One-time Operating Budget from 2023 to 2024 in Attachment 10. Approve the contribution of Police Services Community Safety Investment Framework 2023 favourable variance of up to $7.5 million to the Calgary Police Service Court Fine Revenue Operating Reserve and a corresponding one-time budget increase in 2024 to be used to fund the Police Services 2024 Community Safety Investment Framework expenditures. Authorize the Public Transit service to access funding in 2024 for the unspent portion of the previously approved $32 million from the Fiscal Stability and Operating Budget Savings Account Merged Reserve (originally authorized as a recovery for 2023 only). Approve the Performance Measures changes in Attachment 11. For the Compost Expansion Borrowing Bylaw 11B2023 in Attachment 12: Give first reading to Bylaw 11B2023 (Attachment 12), being the proposed bylaw to repeal and replace Bylaw 11B2021 authorizing the increase of the amount of borrowing for the Project from the maximum amount of $30 million to $55.63 million; and, Withhold second and third readings until the advertising requirements set out in the Municipal Government Act, RSA 2000, c. M-26, have been met. ; Transfer $500,000 from the Council Innovation Fund to the Council Community Fund.",Regular Meeting of Council,2023/11/07,MOTION CARRIED,15,9,6,,,,,,
